CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
15,SJV,1538,SJU,CALMAT OF CENTRAL CALIFORNIA,16101 HIGHWAY 166,BAKERSFIELD,93311,1442,KER,0.78,,,,SAN JOAQUIN VALLEY APCD,,,0.028031944
37,SD,27,SD,CANYON ROCK,7500 MISSION GORGE RD,SAN DIEGO,92120,3241,SD,,,,,SAN DIEGO COUNTY APCD,,,0.000045035
11,SV,1175,GLE,CARRIERE FAMILY FARMS (PROCESSING PLANT),1640 HWY 45,GLENN,95943,723,GLE,,,,,GLENN COUNTY APCD,,,180
16,SJV,283,SJU,"CHEMICAL WASTE MANAGEMENT, INC",35251 OLD SKYLINE RD,KETTLEMAN CITY,93239,4953,KIN,0.5,,,,SAN JOAQUIN VALLEY APCD,,,0.00428072
7,SF,10,BA,CHEVRON PRODUCTS COMPANY,841 CHEVRON WAY,RICHMOND,94801,6211,CC,59458,8,0.02,,BAY AREA AQMD,,,47.94
15,SJV,3720,SJU,CHINA GRADE SANITARY LANDFILL,"SEC 1 AND 12, T29S, R28E",BAKERSFIELD,,4953,KER,0.74,,,,SAN JOAQUIN VALLEY APCD,,,0.007490727
39,SJV,3266,SJU,CHINCHIOLO STEMILT CALIFORNIA LLC,4799 N  JACK TONE RD,STOCKTON,95215,2099,SJ,4.42,,,,SAN JOAQUIN VALLEY APCD,,,3776.99995
10,SJV,317,SJU,CHOOLJIAN BROS PACKING CO,3192 S INDIANOLA AVE,SANGER,93657,723,FRE,2.4,,,,SAN JOAQUIN VALLEY APCD,,,0
33,MD,1422,MOJ,CHUCKAWALLA VALLEY STATE PRISON,19005 WILEY'S WELL ROAD,BLYTHE,92226,9223,RIV,4.52,,,,MOJAVE DESERT AQMD,,,16.25
42,SCC,8676,SB,COUNTY OF SANTA BARBARA - TAJIGUAS LANDFILL,14470 CALLE REAL,GOLETA,93117,4953,SB,,,,,SANTA BARBARA COUNTY APCD,,,3.007077
15,SJV,6971,SJU,"CRIMSON RENEWABLE ENERGY, LP",17731 MILLUX RD,BAKERSFIELD,,2992,KER,0,,,,SAN JOAQUIN VALLEY APCD,,,0.058286176
20,SJV,4265,SJU,D.V. ENTERPRISES,20282 ROAD 21,MADERA,93638,723,MAD,0.43,,,,SAN JOAQUIN VALLEY APCD,,,389.9999857
39,SJV,2395,SJU,"DELTA PACKING CO. OF LODI,INC.",6021 E KETTLEMAN LANE,LODI,95240,723,SJ,2.98,,,,SAN JOAQUIN VALLEY APCD,,,7199.999809
39,SJV,285,SJU,"DIAMOND FOODS, LLC",1050 S DIAMOND ST,STOCKTON,95201,723,SJ,,0,0,0,SAN JOAQUIN VALLEY APCD,,,360.0000143
30,SC,153864,SC,DIVERSIFIED ASPHALT PRODUCTS,1227 N OLIVE ST,ANAHEIM,92801,5032,ORA,,,,,SOUTH COAST AQMD,,,0.00000256
56,SCC,507,VEN,DRISCOLL STRAWBERRY ASSOCIATES,3939 E. HUENEME ROAD,OXNARD,93030,5148,VEN,0.29,,,,VENTURA COUNTY APCD,,,255
15,SJV,1624,SJU,E&B NATURAL RESOURCES MGMT,HEAVY OIL CENTRAL,,,1311,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.00656278
1,SF,591,BA,EAST BAY MUNICIPAL UTILITY DISTRICT,2020 WAKE AVENUE,OAKLAND,94607,4952,ALA,418.4,8,0.06,,BAY AREA AQMD,,,11.2
15,MD,47,KER,EDWARDS AFB,120 N. ROSAMOND BLVD,EDWARDS AFB,93524,9711,KER,3.04,,,,EASTERN KERN APCD,,,479.5869
20,SJV,8250,SJU,EL DORADO ALMONDS LLC,21888 AVENUE 14,MADERA,,723,MAD,0.88,,,,SAN JOAQUIN VALLEY APCD,,,3000
54,SJV,968,SJU,"FAMOUS VINEYARDS, LLC",20715 AVENUE 8,RICHGROVE,93261,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,239,SJU,FELIX COSTA,13160 N WEST LN,LODI,95240,723,SJ,0.01,,,,SAN JOAQUIN VALLEY APCD,,,13.09813556
10,SJV,973,SJU,FIG GARDEN PACKING INC.,5545 W DAKOTA AVE,FRESNO,93722,723,FRE,0.33,,,,SAN JOAQUIN VALLEY APCD,,,0
50,SJV,3969,SJU,FINK ROAD LANDFILL,4000 FINK RD,CROWS LANDING,95313,4953,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0.045776661
39,SJV,4752,SJU,FOPPIANO RANCH,500 N JACK TONE RD,STOCKTON,95215,2879,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,6047.99974
36,MD,2806,MOJ,FORT IRWIN WASTEWATER TREATMENT PLANT,"WASTEWATER TREATMENT PLANT, BLDG 700",FORT IRWIN,92310,9511,SBD,8.53,,,,MOJAVE DESERT AQMD,,,22.805
39,SJV,339,SJU,FORWARD INC LANDFILL,9999 S AUSTIN RD,MANTECA,95336,4953,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.133829842
50,SJV,3838,SJU,"FRAZIER NUT FARMS, INC",10830 YOSEMITE BLVD,WATERFORD,95386,723,STA,3.85,,,,SAN JOAQUIN VALLEY APCD,,,35.99999845
50,SJV,3104,SJU,GEER ROAD LANDFILL,750 GEER RD,MODESTO,95351,4953,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0.018765989
34,SV,2496,SAC,"GEORGE REED, INC.",900 W. ELKHORN BLVD,RIO LINDA,95673,2951,SAC,,,,,SACRAMENTO METROPOLITAN AQMD,N,,0.109435304
10,SJV,2870,SJU,GERAWAN FARMING LLC,1467 E DINUBA AVE,REEDLEY,,723,FRE,14.8,0,0.33,0.58,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,2959,SJU,GIUMARRA BROS FRUIT COMPANY,3646 AVENUE 416,REEDLEY,93654,723,TUL,0.05,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,366,SJU,GRANITE CONSTRUCTION,10500 HARLAN RD,FRENCH CAMP,95231,2951,SJ,2.85,,,,SAN JOAQUIN VALLEY APCD,,,0.020502174
19,MD,3728,AV,GRANITE CONSTRUCTION - BIG ROCK FACILITY,34809 155TH STREET EAST,LLANO,93544,1442,LA,0.17,,,,ANTELOPE VALLEY AQMD,,,0.044629296
34,SV,200,SAC,GRANITE CONSTRUCTION CO,4291 BRADSHAW ROAD,SACRAMENTO,95827,2951,SAC,,,,,SACRAMENTO METROPOLITAN AQMD,N,,0.348776693
15,SJV,1610,SJU,GRANITE CONSTRUCTION COMPANY,3001 JAMES RD,BAKERSFIELD,93308,1442,KER,7.78,,,,SAN JOAQUIN VALLEY APCD,,,0.266426086
15,SJV,1612,SJU,GRANITE CONSTRUCTION COMPANY,"HWY 223, 3 MILES EAST OF ARVIN",BAKERSFIELD,,1442,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,7888,SJU,GRANITE CONSTRUCTION COMPANY,37400 S BIRD RD,TRACY,95304,2951,SJ,5.21,,,,SAN JOAQUIN VALLEY APCD,,,0.064843936
33,SS,178534,SC,GRANITE CONSTRUCTION COMPANY,35100  DILLON RD,INDIO,92203,1611,RIV,,,,,SOUTH COAST AQMD,,,0.16480055
10,SJV,590,SJU,"GRANITE CONSTRUCTION, COALINGA",38940 HIGHWAY 33,COALINGA,93210,2951,FRE,5.46,,,,SAN JOAQUIN VALLEY APCD,,,.2309170493531957
15,SJV,3078,SJU,GRIFFITH CO,EDMONSTON PUMP STATION RD,TEJON RANCH,,2951,KER,1.62,,,,SAN JOAQUIN VALLEY APCD,,,0.287271852
50,SJV,6082,SJU,GROWER DIRECT NUT COMPANY,2288 GEER RD,HUGHSON,95326,723,STA,2.33,,,,SAN JOAQUIN VALLEY APCD,,,759.9999905
